acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
91,91,1178,1178,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,10,10,10,10,0,0,0,10,10,0,0,0,10,10,10,0,0,10,10,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,2 1,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,527,,,44327,18899,,527,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,2,1024,2,48000,-16,experiment,1,odd,Win32,5,130875,,,127616,47,128646,107802,46,44411,,132894,129663,133423,47,132893,Sternberg_updated,10,12962,11,yes,1024
92,92,1145,1145,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,11,11,11,11,0,0,0,11,11,0,0,0,11,11,11,0,0,11,11,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,778,,,44327,18899,,778,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,1,1024,2,48000,-16,experiment,1,odd,Win32,3,136671,,,133427,47,134450,107802,46,44411,,138689,135457,139468,47,138688,Sternberg_updated,11,13740,12,yes,1024
92,92,1117,1117,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,12,12,12,12,0,0,0,12,12,0,0,0,12,12,12,0,0,12,12,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,2 8 7 9 5 3,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,right,left,785,,,44327,18899,33954,785,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,6,1024,2,48000,-16,experiment,1,odd,Win32,6,176700,,,139472,47,174481,107802,46,44411,140507,178718,175488,179514,47,178718,Sternberg_updated,12,14525,13,yes,1024
93,93,1095,1095,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,13,13,13,13,0,0,0,13,13,0,0,0,13,13,13,0,0,13,13,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,8 7 3,osweb,1.4.0,1,1,y,37,,0,right,,,h,right,right,right,808,,,44327,18899,33954,808,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,3,1024,2,48000,-16,experiment,1,odd,Win32,8,182778,,,179518,47,180549,107802,46,44411,140507,184795,181564,185608,47,184795,Sternberg_updated,13,15333,14,yes,1024
93,93,1076,1076,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,14,14,14,14,0,0,0,14,14,0,0,0,14,14,14,0,0,14,14,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,9 1 6 7 8,osweb,1.4.0,1,1,y,37,,0,right,,,h,right,right,right,810,,,44327,18899,33954,810,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,9,188873,,,185612,47,186642,107802,46,44411,140507,190891,187659,191702,47,190891,Sternberg_updated,14,16143,15,yes,1024
94,94,1068,1068,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,15,15,15,15,0,0,0,15,15,0,0,0,15,15,15,0,0,15,15,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,9 5 8 1,osweb,1.4.0,1,2,y,37,,0,right,,,h,right,right,right,946,,,44327,18899,33954,946,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,4,1024,2,48000,-16,experiment,1,odd,Win32,5,194950,,,191707,47,192732,107802,46,44411,140507,196969,193736,197930,47,196969,Sternberg_updated,15,17089,16,yes,1024
94,94,1056,1056,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,16,16,16,16,0,0,0,16,16,0,0,0,16,16,16,0,0,16,16,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,3 2 1 4 7,osweb,1.4.0,1,2,y,37,,0,right,,,h,right,right,right,855,,,44327,18899,33954,855,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,2,201195,,,197935,47,198966,107802,46,44411,140507,203212,199982,204075,47,203212,Sternberg_updated,16,17944,17,yes,1024
94,94,1044,1044,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,17,17,17,17,0,0,0,17,17,0,0,0,17,17,17,0,0,17,17,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,5 2,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,right,left,844,,,44327,18899,33954,844,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,2,1024,2,48000,-16,experiment,1,odd,Win32,7,207338,,,204079,47,205110,107802,46,44411,140507,209356,206125,210201,47,209356,Sternberg_updated,17,18788,18,yes,1024
95,95,1024,1024,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,18,18,18,18,0,0,0,18,18,0,0,0,18,18,18,0,0,18,18,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,4 1 8 7 5,osweb,1.4.0,1,3,y,37,,0,right,,,h,right,right,right,667,,,44327,18899,33954,667,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,8,213467,,,210206,47,211240,107802,46,44411,140507,215484,212252,216163,47,215484,Sternberg_updated,18,19455,19,yes,1024
95,95,1017,1017,black,no,experiment,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,19,19,19,19,0,0,0,19,19,0,0,0,19,19,19,0,0,19,19,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,1 4 3 6 5,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,right,left,879,,,44327,18899,33954,879,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,8,219427,,,216167,47,217200,107802,46,44411,140507,221444,218214,222323,47,221444,Sternberg_updated,19,20334,20,yes,1024
