setSize,present,id,rt
3,y,15,610.7777777777778
3,y,16,706.1111111111111
3,y,17,846.4444444444445
3,y,18,820.5555555555555
3,y,19,547.1111111111111
3,y,20,931.625
3,y,21,847.8888888888889
4,n,1,600.8333333333334
4,n,2,1120.9166666666667
4,n,3,640.3333333333334
4,n,4,893.9166666666666
4,n,5,704.5
4,n,6,753.2727272727273
4,n,7,587.1666666666666
4,n,8,777.5
4,n,9,649.5
4,n,10,820.8333333333334
4,n,11,633.3333333333334
4,n,12,950.0
4,n,13,518.3333333333334
4,n,14,955.1818181818181
4,n,15,769.0909090909091
4,n,16,794.4166666666666
4,n,17,1100.8333333333333
4,n,18,883.0
4,n,19,579.4166666666666
4,n,20,925.1818181818181
4,n,21,919.9
4,y,1,538.7272727272727
4,y,2,1147.4
4,y,3,712.6666666666666
4,y,4,1003.4166666666666
4,y,5,705.25
4,y,6,685.1818181818181
4,y,7,577.5454545454545
4,y,8,661.0
4,y,9,616.0909090909091
4,y,10,710.0909090909091
4,y,11,711.7142857142857
4,y,12,939.25
4,y,13,517.1
4,y,14,873.1818181818181
4,y,15,728.75
4,y,16,754.25
4,y,17,1132.8333333333333
4,y,18,823.5555555555555
4,y,19,532.1
4,y,20,924.7
4,y,21,856.9090909090909
5,n,1,540.1428571428571
5,n,2,996.3571428571429
5,n,3,611.7692307692307
5,n,4,1084.7142857142858
5,n,5,727.8666666666667
5,n,6,718.0833333333334
5,n,7,625.7692307692307
5,n,8,715.6666666666666
5,n,9,612.6428571428571
5,n,10,790.3333333333334
5,n,11,667.4285714285714
5,n,12,1010.5
5,n,13,528.7333333333333
5,n,14,929.6666666666666
5,n,15,689.5
5,n,16,846.5333333333333
5,n,17,1078.9333333333334
5,n,18,776.2142857142857
5,n,19,614.2142857142857
5,n,20,893.2857142857143
5,n,21,1144.6666666666667
5,y,1,556.3571428571429
5,y,2,1064.1333333333334
5,y,3,737.1428571428571
5,y,4,979.0
5,y,5,706.5333333333333
5,y,6,608.3846153846154
5,y,7,598.0
5,y,8,767.3076923076923
5,y,9,633.4
5,y,10,690.0769230769231
5,y,11,612.4166666666666
5,y,12,924.0
5,y,13,595.4166666666666
5,y,14,1038.6666666666667
5,y,15,726.8666666666667
5,y,16,684.6666666666666
5,y,17,982.9333333333333
5,y,18,890.1
5,y,19,563.0833333333334
5,y,20,1031.076923076923
5,y,21,885.5333333333333
6,n,1,611.1176470588235
6,n,2,1115.5294117647059
6,n,3,696.0
6,n,4,895.4705882352941
6,n,5,775.1176470588235
6,n,6,798.2
6,n,7,707.4375
6,n,8,743.0
6,n,9,722.7647058823529
6,n,10,843.1875
6,n,11,711.2307692307693
6,n,12,964.375
6,n,13,579.7058823529412
6,n,14,1072.2941176470588
6,n,15,697.2941176470588
6,n,16,831.1666666666666
6,n,17,1161.9444444444443
6,n,18,837.4615384615385
6,n,19,657.8823529411765
6,n,20,872.0555555555555
6,n,21,982.3529411764706
6,y,1,641.25
6,y,2,1044.75
6,y,3,708.4666666666667
6,y,4,1130.8235294117646
6,y,5,683.2
6,y,6,735.4375
6,y,7,609.2142857142857
6,y,8,664.8823529411765
6,y,9,647.5882352941177
6,y,10,813.8571428571429
6,y,11,599.2142857142857
6,y,12,837.875
6,y,13,532.2
6,y,14,884.3571428571429
6,y,15,781.5
6,y,16,843.3125
6,y,17,1053.8823529411766
6,y,18,806.1111111111111
6,y,19,561.7333333333333
6,y,20,1030.5384615384614
6,y,21,995.9444444444445
