stim,condition,block,correct_response
church-steeple,Related,C,yes
law-justice,Related,C,yes
sheep-lamb,Related,C,yes
eat-food,Related,C,yes
insect-bug,Related,C,yes
frown-smile,Related,C,yes
fruit-apple,Related,C,yes
square-box,Related,C,yes
village-town,Related,C,yes
hand-foot,Related,C,yes
ice-snow,Related,C,yes
baby-child,Related,C,yes
moon-star,Related,C,yes
oil-gas,Related,C,yes
thought-mind,Related,C,yes
play-work,Related,C,yes
shallow-deep,Related,C,yes
egg-yolk,Related,C,yes
pain-hurt,Related,C,yes
sharp-dull,Related,C,yes
weasel-bird,Unrelated,C,yes
churn-steeple,Unrelated,C,yes
paw-justice,Unrelated,C,yes
steep-lamb,Unrelated,C,yes
ear-food,Unrelated,C,yes
invest-bug,Unrelated,C,yes
brown-smile,Unrelated,C,yes
stout-apple,Unrelated,C,yes
squash-box,Unrelated,C,yes
pillage-town,Unrelated,C,yes
land-foot,Unrelated,C,yes
ace-snow,Unrelated,C,yes
busy-child,Unrelated,C,yes
mood-star,Unrelated,C,yes
foil-gas,Unrelated,C,yes
fought-mind,Unrelated,C,yes
slay-work,Unrelated,C,yes
hallow-deep,Unrelated,C,yes
peg-yolk,Unrelated,C,yes
gain-hurt,Unrelated,C,yes
hird-seft,Nonword,C,no
eable-wird,Nonword,C,no
chorch-steeble,Nonword,C,no
liw-justoce,Nonword,C,no
sheex-famb,Nonword,C,no
eas-jood,Nonword,C,no
onsect-fug,Nonword,C,no
browt-smice,Nonword,C,no
fruid-asple,Nonword,C,no
squame-bor,Nonword,C,no
villane-towp,Nonword,C,no
yand-foox,Nonword,C,no
oce-snaw,Nonword,C,no
boby-shild,Nonword,C,no
hoon-stad,Nonword,C,no
oim-tas,Nonword,C,no
thoughf-mand,Nonword,C,no
galy-hork,Nonword,C,no
shandow-meep,Nonword,C,no
ege-bolk,Nonword,C,no
man-wotar,Filler,C,no
rough-smoat,Filler,C,no
bread-bottin,Filler,C,no
bitter-sweax,Filler,C,no
green-gliss,Filler,C,no
large-smipo,Filler,C,no
bed-slorg,Filler,C,no
afraid-scobet,Filler,C,no
cabbage-lottir,Filler,C,no
door-wingew,Filler,C,no
moship-father,Filler,C,no
neibon-thread,Filler,C,no
brothog-sister,Filler,C,no
capsute-pill,Filler,C,no
boeh-ale,Filler,C,no
bosh-water,Filler,C,no
nirey-south,Filler,C,no
honip-bee,Filler,C,no
sconix-marble,Filler,C,no
porry-cent,Filler,C,no
