stim,condition,block,correct_response
wine-grapes,Related,B,yes
dance-waltz,Related,B,yes
fat-thin,Related,B,yes
peace-war,Related,B,yes
pen-ink,Related,B,yes
good-bad,Related,B,yes
hop-skip,Related,B,yes
rip-tear,Related,B,yes
hill-mountain,Related,B,yes
scissors-cut,Related,B,yes
health-sickness,Related,B,yes
add-subtract,Related,B,yes
blue-sky,Related,B,yes
dark-night,Related,B,yes
high-low,Related,B,yes
trout-fish,Related,B,yes
black-white,Related,B,yes
boy-girl,Related,B,yes
dog-cat,Related,B,yes
hard-soft,Related,B,yes
lean-stem,Unrelated,B,yes
fine-grapes,Unrelated,B,yes
ranch-waltz,Unrelated,B,yes
bat-thin,Unrelated,B,yes
peach-war,Unrelated,B,yes
men-ink,Unrelated,B,yes
gold-bad,Unrelated,B,yes
mop-skip,Unrelated,B,yes
rid-tear,Unrelated,B,yes
will-mountain,Unrelated,B,yes
scorpion-cut,Unrelated,B,yes
wealth-sickness,Unrelated,B,yes
age-subtract,Unrelated,B,yes
glue-sky,Unrelated,B,yes
park-night,Unrelated,B,yes
sigh-low,Unrelated,B,yes
treat-fish,Unrelated,B,yes
slack-white,Unrelated,B,yes
toy-girl,Unrelated,B,yes
dig-cat,Unrelated,B,yes
hoy-wappy,Nonword,B,no
geaf-ster,Nonword,B,no
wone-brapes,Nonword,B,no
jance-maltz,Nonword,B,no
fot-thip,Nonword,B,no
ren-onk,Nonword,B,no
goid-nad,Nonword,B,no
fop-skup,Nonword,B,no
rin-mear,Nonword,B,no
hilp-bountain,Nonword,B,no
scyssors-cet,Nonword,B,no
dealth-fickness,Nonword,B,no
ald-rubtract,Nonword,B,no
darl-nighp,Nonword,B,no
figh-lew,Nonword,B,no
frout-hish,Nonword,B,no
block-whote,Nonword,B,no
bey-wirl,Nonword,B,no
man-wotar,Filler,B,no
rough-smoat,Filler,B,no
bread-bottin,Filler,B,no
bitter-sweax,Filler,B,no
green-gliss,Filler,B,no
large-smipo,Filler,B,no
bed-slorg,Filler,B,no
afraid-scobet,Filler,B,no
cabbage-lottir,Filler,B,no
door-wingew,Filler,B,no
moship-father,Filler,B,no
neibon-thread,Filler,B,no
brothog-sister,Filler,B,no
capsute-pill,Filler,B,no
boeh-ale,Filler,B,no
bosh-water,Filler,B,no
nirey-south,Filler,B,no
honip-bee,Filler,B,no
sconix-marble,Filler,B,no
porry-cent,Filler,B,no
