stim,condition,block,correct_response
buy-sell,Related,practice,yes
table-chair,Related,practice,yes
shark-dull,Unrelated,practice,yes
sand-pepper,Unrelated,practice,yes
ip-bown,Nonword,practice,no
hort-sain,Nonword,practice,no
