acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
82,82,895,895,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,10,10,10,10,0,0,0,10,10,0,0,0,10,10,10,0,0,10,10,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,,left,574,,,20020,19366,,574,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,5,1024,2,48000,-16,experiment,0,even,MacIntel,3,103736,,,100486,55,101527,82412,55,20086,,105738,102535,106317,55,105738,Sternberg_updated,9,9844,11,yes,1024
83,83,874,874,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,11,11,11,11,0,0,0,11,11,0,0,0,11,11,11,0,0,11,11,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,,left,643,,,20020,19366,,643,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,6,1024,2,48000,-16,experiment,0,even,MacIntel,6,109584,,,106318,55,107358,82412,55,20086,,111586,108368,112236,55,111586,Sternberg_updated,10,10487,12,yes,1024
85,85,872,872,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,12,12,12,12,0,0,0,12,12,0,0,0,12,12,12,0,0,12,12,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,2 4 8 5 1 3,osweb,1.4.0,1,1,y,36,,0,right,,,space,right,right,right,854,,,20020,19366,32262,854,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,6,1024,2,48000,-16,experiment,0,even,MacIntel,2,147775,,,112237,55,145547,82412,55,20086,113256,149776,146560,150643,55,149776,Sternberg_updated,11,11341,13,yes,1024
79,79,879,879,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,0,0,right,13,13,13,13,0,0,0,13,13,0,0,0,13,13,13,0,0,13,13,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,8 5 4 7 3 1,osweb,1.4.0,1,2,y,36,,0,left,,,space,right,right,left,960,,,20020,19366,32262,960,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,6,1024,2,48000,-16,experiment,0,even,MacIntel,5,153895,,,150644,55,151677,82412,55,20086,113256,155912,152694,156880,55,155912,Sternberg_updated,11,12301,14,yes,1024
80,80,869,869,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,14,14,14,14,0,0,0,14,14,0,0,0,14,14,14,0,0,14,14,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,7 1 3,osweb,1.4.0,1,2,y,36,,0,right,,,space,right,right,right,733,,,20020,19366,32262,733,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,3,1024,2,48000,-16,experiment,0,even,MacIntel,1,160129,,,150644,55,157910,156881,55,20086,113256,162130,158912,162880,55,162130,Sternberg_updated,12,13034,15,yes,1024
81,81,852,852,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,15,15,15,15,0,0,0,15,15,0,0,0,15,15,15,0,0,15,15,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,right,left,599,,,20020,19366,32262,599,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,1,1024,2,48000,-16,experiment,0,even,MacIntel,8,166131,,,162881,55,163913,156881,55,20086,113256,168132,164914,168742,55,168132,Sternberg_updated,13,13633,16,yes,1024
82,82,842,842,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,16,16,16,16,0,0,0,16,16,0,0,0,16,16,16,0,0,16,16,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,6 1 2,osweb,1.4.0,1,3,y,36,,0,right,,,space,right,right,right,686,,,20020,19366,32262,686,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,3,1024,2,48000,-16,experiment,0,even,MacIntel,2,172011,,,168743,55,169778,156881,55,20086,113256,174028,170794,174729,55,174028,Sternberg_updated,14,14319,17,yes,1024
83,83,839,839,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,17,17,17,17,0,0,0,17,17,0,0,0,17,17,17,0,0,17,17,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,1 6 4 3 9 7,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,right,left,785,,,20020,19366,32262,785,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,6,1024,2,48000,-16,experiment,0,even,MacIntel,8,177980,,,174731,55,175762,156881,55,20086,113256,179989,176764,180790,55,179989,Sternberg_updated,15,15104,18,yes,1024
84,84,835,835,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,18,18,18,18,0,0,0,18,18,0,0,0,18,18,18,0,0,18,18,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,2 4 6 9,osweb,1.4.0,1,3,y,36,,0,right,,,space,right,right,right,766,,,20020,19366,32262,766,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,4,1024,2,48000,-16,experiment,0,even,MacIntel,6,184041,,,180791,55,181823,156881,55,20086,113256,186042,182824,186808,55,186042,Sternberg_updated,16,15870,19,yes,1024
85,85,832,832,black,no,experiment,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,19,19,19,19,0,0,0,19,19,0,0,0,19,19,19,0,0,19,19,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,6 7 5 9,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,right,left,772,,,20020,19366,32262,772,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,4,1024,2,48000,-16,experiment,0,even,MacIntel,2,190069,,,186810,55,187844,156881,55,20086,113256,192086,188852,192870,55,192086,Sternberg_updated,17,16642,20,yes,1024
