acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
91,91,983,983,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,10,10,10,10,0,0,0,10,10,0,0,0,10,10,10,0,0,10,10,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,2 1,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,,left,984,,,11595,15051,,984,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,2,1024,2,48000,-16,experiment,0,even,MacIntel,5,91319,,,88086,38,89107,50778,38,11650,,93331,90115,94318,38,93331,Sternberg_updated,10,10814,11,yes,1024
83,83,985,985,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,0,0,right,11,11,11,11,0,0,0,11,11,0,0,0,11,11,11,0,0,11,11,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,37,,0,left,,,space,right,,left,1005,,,11595,15051,,1005,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,6,1024,2,48000,-16,experiment,0,even,MacIntel,4,97553,,,94319,38,95340,50778,38,11650,,99555,96349,100571,38,99555,Sternberg_updated,10,11819,12,yes,1024
85,85,963,963,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,12,12,12,12,0,0,0,12,12,0,0,0,12,12,12,0,0,12,12,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,1 8 7,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,right,left,706,,,11595,15051,11683,706,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,3,1024,2,48000,-16,experiment,0,even,MacIntel,4,115512,,,94319,38,113287,100572,38,11650,101579,117517,114304,118237,38,117517,Sternberg_updated,11,12525,13,yes,1024
86,86,951,951,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,13,13,13,13,0,0,0,13,13,0,0,0,13,13,13,0,0,13,13,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,1 7 5 2 9,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,right,left,791,,,11595,15051,11683,791,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,5,1024,2,48000,-16,experiment,0,even,MacIntel,3,121461,,,118238,38,119257,100572,38,11650,101579,123475,120259,124278,38,123475,Sternberg_updated,12,13316,14,yes,1024
87,87,930,930,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,14,14,14,14,0,0,0,14,14,0,0,0,14,14,14,0,0,14,14,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,6 8,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,right,left,640,,,11595,15051,11683,640,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,2,1024,2,48000,-16,experiment,0,even,MacIntel,9,127501,,,124279,38,125294,100572,38,11650,101579,129509,126296,130149,38,129509,Sternberg_updated,13,13956,15,yes,1024
81,81,925,925,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,0,0,right,15,15,15,15,0,0,0,15,15,0,0,0,15,15,15,0,0,15,15,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,8 5 3 7 4 6,osweb,1.4.0,1,6,y,37,,0,left,,,space,right,right,left,848,,,11595,15051,11683,848,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,6,1024,2,48000,-16,experiment,0,even,MacIntel,6,133404,,,130151,38,131181,100572,38,11650,101579,135421,132196,136279,38,135421,Sternberg_updated,13,14804,16,yes,1024
82,82,914,914,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,16,16,16,16,0,0,0,16,16,0,0,0,16,16,16,0,0,16,16,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,8 1 6,osweb,1.4.0,1,3,y,37,,0,right,,,space,right,right,right,732,,,11595,15051,11683,732,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,3,1024,2,48000,-16,experiment,0,even,MacIntel,6,139508,,,130151,38,137297,136281,38,11650,101579,141512,138300,142248,38,141512,Sternberg_updated,14,15536,17,yes,1024
83,83,925,925,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,17,17,17,17,0,0,0,17,17,0,0,0,17,17,17,0,0,17,17,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,5 7 8 2 3 8,osweb,1.4.0,1,5,y,37,,0,right,,,space,right,right,right,1114,,,11595,15051,11683,1114,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,6,1024,2,48000,-16,experiment,0,even,MacIntel,3,145490,,,142250,38,143268,136281,38,11650,101579,147503,144286,148622,38,147503,Sternberg_updated,15,16650,18,yes,1024
84,84,911,911,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,18,18,18,18,0,0,0,18,18,0,0,0,18,18,18,0,0,18,18,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,8,osweb,1.4.0,1,1,y,37,,0,right,,,space,right,right,right,653,,,11595,15051,11683,653,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,1,1024,2,48000,-16,experiment,0,even,MacIntel,8,151857,,,148623,38,149645,136281,38,11650,101579,153870,150654,154537,38,153870,Sternberg_updated,16,17303,19,yes,1024
85,85,910,910,black,no,experiment,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,19,19,19,19,0,0,0,19,19,0,0,0,19,19,19,0,0,19,19,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,5 7 3,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,right,left,888,,,11595,15051,11683,888,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,3,1024,2,48000,-16,experiment,0,even,MacIntel,9,157755,,,154537,38,155550,136281,38,11650,101579,159772,156551,160675,38,159772,Sternberg_updated,17,18191,20,yes,1024
