spelling,lexicality,rt,zscore,accuracy,rt.sd,zscore.sd,accuracy.sd
unzips,W,671.1515152,0.270404612,0.868421053,218.892114,1.045886995,0.342569987
up,W,505.4,-0.756124361,1,161.2475084,0.706465032,0
upbeat,W,621.9,-0.139380182,1,195.2254187,0.83499424,0
upbraid,W,666.8571429,0.58328998,0.184210526,240.8923885,1.282515122,0.392859452
upbraids,W,701.875,0.413495373,0.236842105,233.1127486,0.635018613,0.430851484
update,W,506.875,-0.787626665,1,118.7803807,0.481841764,0
updates,W,576.3947368,-0.436502815,1,159.1902719,0.785066549,0
upend,W,720.25,0.739582579,0.425,230.6424361,1.213717452,0.500640615
upgrade,W,571.4102564,-0.437675729,0.975,126.7460615,0.653505734,0.158113883
upgrades,W,592.8947368,-0.230453431,0.975,139.9039805,0.65246723,0.158113883
upheld,W,579.4722222,-0.359156314,0.925,165.201606,0.794750409,0.266746783
uphill,W,565.9189189,-0.425610716,0.925,112.0008379,0.453005482,0.266746783
uphold,W,597.65,-0.274759387,1,179.2014409,0.690055695,0
upholds,W,639.4166667,-0.017171902,0.973684211,243.6046416,0.8308912,0.162221421
upkeep,W,674.0555556,0.22159126,0.9,186.0439187,0.855435417,0.30382181
upland,W,704.4285714,0.334405896,0.578947368,282.1964868,1.380029226,0.500355492
uplift,W,599.3421053,-0.022201642,0.95,138.1797256,0.93600413,0.220721428
uplifts,W,635.3421053,-0.060794492,1,163.4691931,0.773828224,0
upmost,W,637.8857143,-0.036567997,0.947368421,146.6201117,0.618893453,0.226294286
upon,W,534.3846154,-0.533306494,0.975,110.007324,0.487283668,0.158113883
upped,W,725.7894737,0.691185376,0.55,221.7753064,1.137875864,0.503831474
upper,W,560.1891892,-0.428372005,0.973684211,155.6039913,0.748342601,0.162221421
uppers,W,671.2962963,0.212146336,0.710526316,273.5699622,1.301347544,0.459605867
upping,W,711.8,0.335118705,0.710526316,261.492033,0.964870451,0.459605867
uppish,W,683.3125,0.553598799,0.447368421,161.5680326,1.221718411,0.503896623
upright,W,604.8108108,-0.128244501,1,170.3125946,0.992538859,0
uprights,W,637.5333333,-0.082439758,0.842105263,188.246488,0.760918762,0.369537021
uproar,W,666.2777778,0.149689861,0.947368421,250.2584505,1.184750244,0.226294286
uproot,W,656.7941176,0.090257213,0.921052632,196.7893474,0.852807039,0.273276313
ups,W,626.2352941,-0.157456834,0.921052632,267.2302445,1.079774357,0.273276313
upset,W,529.2820513,-0.625396671,1,104.1575094,0.558098683,0
upsets,W,571.8421053,-0.34149222,0.975,194.2601385,0.861724899,0.158113883
upshot,W,639.0625,0.049341102,0.842105263,149.1692992,0.8374003,0.369537021
upside,W,609.2105263,-0.212204978,1,171.7734457,1.019198821,0
upstage,W,565.1351351,-0.386448113,0.973684211,121.8617528,0.559089291,0.162221421
upstaged,W,697,0.257856082,0.95,213.0022205,0.870960855,0.220721428
upstairs,W,522.6486486,-0.678940025,0.973684211,71.85758145,0.48980836,0.162221421
upstart,W,592.5945946,-0.166510913,0.95,164.8247317,0.944931387,0.220721428
upstarts,W,724.516129,0.52217387,0.875,231.140487,1.047576138,0.334932064
upstream,W,567.1282051,-0.432453819,0.975,94.5674862,0.414590553,0.158113883
upsurge,W,759.8636364,0.926290271,0.657894737,160.5527047,0.96732293,0.480782908
upswing,W,749.2,0.731670125,0.710526316,205.7170387,0.832915196,0.459605867
upswings,W,839.0666667,1.337493685,0.447368421,299.2152753,1.540435511,0.503896623
uptake,W,574.2820513,-0.289049707,0.975,145.4975038,0.729144169,0.158113883
uptight,W,610.2777778,-0.180513484,0.947368421,193.1738833,0.825359846,0.226294286
uptown,W,597.3157895,-0.123603334,0.975,159.0254281,0.805483376,0.158113883
upturn,W,642.3125,0.081762119,0.947368421,202.4463987,1.056770092,0.226294286
upturned,W,677.7575758,0.34651437,0.875,149.9012238,0.72138656,0.334932064
upturns,W,606.2333333,-0.168822665,0.789473684,126.2768396,0.691851324,0.41315495
upward,W,609.9473684,-0.277872009,1,168.9629653,0.7973748,0
upwards,W,550.825,-0.491776275,1,142.3849761,0.630241497,0
urban,W,565.5641026,-0.323745108,0.975,134.1581539,0.673245511,0.158113883
urbane,W,750.6363636,0.321712365,0.289473684,559.7405243,1.362647888,0.459605867
urchin,W,686.4285714,0.363142039,0.875,218.691602,0.989123888,0.334932064
urchins,W,633.7878788,0.213015847,0.9,142.1066408,0.819888709,0.30382181
urdu,W,774.5454545,0.985290394,0.325,184.0268261,0.844253828,0.474341649
urge,W,599.8108108,-0.405507873,0.973684211,213.5352999,0.732247488,0.162221421
urged,W,629.5428571,-0.200018383,0.921052632,233.6838416,0.843924227,0.273276313
urgent,W,560.9459459,-0.595528331,0.973684211,109.3002862,0.558351273,0.162221421
urges,W,587.4594595,-0.166798381,0.925,146.2329942,0.722658528,0.266746783
urging,W,648.7714286,0.269050494,0.925,187.6343575,1.283429872,0.266746783
