,ID,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
41,4482,target,canvas.Screen,12_0_0_0_5,response,1097.0,94022.0,94021.0,94037.0,95118.0,95087.0,2024-09-12T08:24:39.732Z,95104.0,response_manmade,m,storm,LAND,Inc_Nat_Nat,long,incongruent,m,m,True
48,4482,target,canvas.Screen,12_0_0_1_5,response,905.0,95805.0,95804.0,95821.0,96709.0,96678.0,2024-09-12T08:24:41.323Z,96704.0,response_manmade,m,jeans,JEANS,Con_Synth,long,congruent,m,m,True
55,4482,target,canvas.Screen,12_0_0_2_5,response,954.0,97405.0,97404.0,97427.0,98358.0,98328.0,2024-09-12T08:24:42.972Z,98354.0,response_natural,n,stone,STONE,Con_Nat,long,congruent,n,n,True
62,4482,target,canvas.Screen,12_0_0_3_5,response,1051.0,99055.0,99054.0,99071.0,100105.0,100075.0,2024-09-12T08:24:44.719Z,100087.0,response_manmade,m,taxi,CHAIN,Inc_Synth_Synth,long,incongruent,m,m,True
69,4482,target,canvas.Screen,12_0_0_4_5,response,679.0,100789.0,100788.0,100804.0,101467.0,101438.0,2024-09-12T08:24:46.082Z,101454.0,response_natural,n,crab,CRAB,Con_Nat,long,congruent,n,n,True
76,4482,target,canvas.Screen,12_0_0_5_5,response,993.0,102155.0,102154.0,102171.0,103147.0,103118.00000000001,2024-09-12T08:24:47.762Z,103138.0,response_natural,n,stick,STICK,Con_Nat,long,congruent,n,n,True
83,4482,target,canvas.Screen,12_0_0_6_5,response,1010.0,103839.0,103838.0,103854.0,104848.0,104817.0,2024-09-12T08:24:49.461Z,104838.0,response_manmade,m,bell,WHEEL,Inc_Synth_Synth,long,incongruent,m,m,True
90,4482,target,canvas.Screen,12_0_0_7_5,response,908.0,105538.0,105538.0,105554.0,106446.0,106415.0,2024-09-12T08:24:51.059Z,106437.0,response_manmade,m,cake,TRASH,Inc_Synth_Synth,long,incongruent,m,m,True
97,4482,target,canvas.Screen,12_0_0_8_5,response,698.0,107139.0,107138.0,107154.0,107836.0,107806.0,2024-09-12T08:24:52.450Z,107821.0,response_natural,n,fruit,BEAR,Inc_Nat_Nat,long,incongruent,m,m,False
104,4482,target,canvas.Screen,12_0_0_9_5,response,1313.0,108522.0,108521.0,108538.0,109834.0,109803.0,2024-09-12T08:24:54.447Z,109821.0,response_manmade,m,plum,PLUM,Con_Nat,long,congruent,n,n,False
111,4482,target,canvas.Screen,12_0_0_10_5,response,868.0,110508.0,110507.0,110521.0,111375.0,111344.00000000001,2024-09-12T08:24:55.988Z,111355.0,response_natural,n,swan,SWAN,Con_Nat,long,congruent,n,n,True
118,4482,target,canvas.Screen,12_0_0_11_5,response,911.0,112055.0,112054.0,112071.0,112965.0,112936.0,2024-09-12T08:24:57.580Z,112955.0,response_natural,n,ferry,FERRY,Con_Synth,long,congruent,m,m,False
125,4482,target,canvas.Screen,12_0_0_12_5,response,1306.0,113655.0,113655.0,113671.0,114961.0,114931.0,2024-09-12T08:24:59.575Z,114955.0,response_manmade,m,wire,CABIN,Inc_Synth_Synth,long,incongruent,m,m,True
132,4482,target,canvas.Screen,12_0_0_13_5,response,1094.0000000000146,115655.0,115655.0,115672.0,116749.00000000001,116719.00000000001,2024-09-12T08:25:01.362Z,116738.0,response_manmade,m,deck,PLATE,Inc_Synth_Synth,long,incongruent,m,m,True
139,4482,target,canvas.Screen,12_0_0_14_5,response,1623.0,117439.0,117438.0,117455.0,119061.0,119029.0,2024-09-12T08:25:03.673Z,119054.0,response_natural,n,clam,CLAM,Con_Nat,long,congruent,n,n,True
146,4482,target,canvas.Screen,12_0_0_15_5,response,1146.0,119756.0,119755.0,119772.0,120901.0,120869.0,2024-09-12T08:25:05.513Z,120888.0,response_natural,n,hare,HARE,Con_Nat,long,congruent,n,n,True
153,4482,target,canvas.Screen,12_0_0_16_5,response,766.0,121588.00000000001,121588.0,121605.0,122354.0,122323.00000000001,2024-09-12T08:25:06.966Z,122338.0,response_natural,n,pipe,LION,Inc_Synth_Nat,long,incongruent,n,n,True
