url,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
4482,Wecome0,canvas.Screen,0,timeout,500.0,1198.0,1199.0,1217.0,1701.0,1704.0,2024-09-12T08:23:06.352Z,1717.0,,,,,,,,,,
4482,Wecome1,canvas.Screen,1,timeout,500.0,1705.0,1701.0,1717.0,2201.0,2201.0,2024-09-12T08:23:06.849Z,2217.0,,,,,,,,,,
4482,Wecome2,canvas.Screen,2,timeout,500.0,2202.0,2201.0,2217.0,2701.0,2701.0,2024-09-12T08:23:07.349Z,2717.0,,,,,,,,,,
4482,Wecome3,canvas.Screen,3,timeout,500.0,2702.0,2701.0,2717.0,3201.0,3202.0,2024-09-12T08:23:07.850Z,3217.0,,,,,,,,,,
4482,Instructions1,canvas.Screen,4,response,13495.0,3202.0,3201.0,3217.0,16696.0,16670.0,2024-09-12T08:23:21.317Z,16700.0,,keypress,,,,,,,,
4482,Instructions 1a,canvas.Screen,5,response,146.0,16670.0,16671.0,16700.0,16817.0,16789.0,2024-09-12T08:23:21.436Z,16801.0,,keypress,,,,,,,,
4482,Instructions2,canvas.Screen,6,response,2223.0,16789.0,16793.0,16801.0,19016.0,18990.000000000004,2024-09-12T08:23:23.637Z,19018.0,,keypress,,,,,,,,
4482,Instructions3,canvas.Screen,7,response,20056.0,18990.000000000004,18992.0,19018.0,39048.0,39020.0,2024-09-12T08:23:43.667Z,39051.0,,keypress,,,,,,,,
4482,Instructions4,canvas.Screen,8,response,5960.0,39020.0,39024.0,39051.0,44984.0,44956.0,2024-09-12T08:23:49.603Z,44985.0,,keypress,,,,,,,,
4482,Instructions5,canvas.Screen,9,response,14366.0,44957.0,44958.0,44985.0,59324.0,59295.0,2024-09-12T08:24:03.941Z,59319.0,,keypress(Space),,,,,,,,
4482,fixation,canvas.Screen,10_0_0,timeout,534.0,59296.0,59299.0,59319.0,59836.0,59837.0,2024-09-12T08:24:04.482Z,59853.0,,,iweonf,BOAT,practice,practice,practice,m,,
4482,mask1,canvas.Screen,10_0_1,timeout,33.0,59837.0,59836.0,59853.0,59869.0,59870.00000000001,2024-09-12T08:24:04.516Z,59886.0,,,iweonf,BOAT,practice,practice,practice,m,,
4482,prime,canvas.Screen,10_0_2,timeout,33.0,59870.00000000001,59869.0,59886.0,59903.0,59903.0,2024-09-12T08:24:04.549Z,59919.0,,,iweonf,BOAT,practice,practice,practice,m,,
4482,mask2,canvas.Screen,10_0_3,timeout,34.0,59904.0,59903.0,59919.0,59936.0,59937.00000000001,2024-09-12T08:24:04.582Z,59953.0,,,iweonf,BOAT,practice,practice,practice,m,,
4482,target,canvas.Screen,10_0_4,response,2938.0,59937.00000000001,59936.0,59953.0,62874.0,62846.0,2024-09-12T08:24:07.491Z,62869.0,response_manmade,keypress(m),iweonf,BOAT,practice,practice,practice,m,m,False
4482,Practice Sequence,flow.Sequence,10_0,completion,3555.0,59296.0,59299.0,59319.0,62874.0,62846.0,2024-09-12T08:24:07.492Z,62869.0,,,iweonf,BOAT,practice,practice,practice,m,,
4482,fixation,canvas.Screen,10_1_0,timeout,534.0,62846.0,62848.0,62869.0,63386.0,63387.0,2024-09-12T08:24:08.033Z,63403.0,,,snjghf,SHEEP,practice,practice,practice,n,,
4482,mask1,canvas.Screen,10_1_1,timeout,33.0,63387.0,63386.0,63403.0,63420.0,63420.0,2024-09-12T08:24:08.066Z,63436.0,,,snjghf,SHEEP,practice,practice,practice,n,,
4482,prime,canvas.Screen,10_1_2,timeout,33.0,63420.0,63420.0,63436.0,63452.0,63453.0,2024-09-12T08:24:08.099Z,63469.0,,,snjghf,SHEEP,practice,practice,practice,n,,
4482,mask2,canvas.Screen,10_1_3,timeout,34.0,63453.0,63452.0,63469.0,63486.0,63487.0,2024-09-12T08:24:08.133Z,63503.0,,,snjghf,SHEEP,practice,practice,practice,n,,
4482,target,canvas.Screen,10_1_4,response,1295.0000000000073,63487.0,63486.0,63503.0,64781.00000000001,64753.0,2024-09-12T08:24:09.399Z,64769.0,response_natural,keypress(n),snjghf,SHEEP,practice,practice,practice,n,n,False
4482,Practice Sequence,flow.Sequence,10_1,completion,1912.0000000000073,62846.0,62848.0,62869.0,64781.00000000001,64754.00000000001,2024-09-12T08:24:09.399Z,64769.0,,,snjghf,SHEEP,practice,practice,practice,n,,
