Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2022-07-02 23:31,2022-07-03 07:13,CEST,463,442,21,0
2022-06-30 23:13,2022-07-01 06:34,CEST,442,427,15,0
2022-06-29 23:00,2022-06-30 06:15,CEST,435,421,12,2
2022-06-28 23:34,2022-06-29 07:10,CEST,456,440,15,2
2022-06-27 22:57,2022-06-28 07:30,CEST,513,489,20,4
2022-06-27 00:05,2022-06-27 06:33,CEST,389,376,9,3
2022-06-26 00:00,2022-06-26 07:57,CEST,478,460,16,2
2022-06-25 05:51,2022-06-25 09:31,CEST,220,203,15,2
2022-06-22 22:58,2022-06-23 06:29,CEST,451,435,14,2
2022-06-20 23:26,2022-06-21 06:24,CEST,418,401,15,2
2022-06-20 00:46,2022-06-20 07:21,CEST,395,383,11,0
2022-06-18 23:00,2022-06-19 08:45,CEST,585,556,28,1
2022-06-17 22:30,2022-06-18 07:01,CEST,511,492,18,2
2022-06-16 22:54,2022-06-17 05:00,CEST,366,352,13,1
2022-06-16 00:18,2022-06-16 06:23,CEST,365,352,11,2
2022-06-14 23:00,2022-06-15 06:30,CEST,450,434,16,0
2022-06-13 22:46,2022-06-14 06:49,CEST,483,455,25,2
2022-06-13 00:10,2022-06-13 06:44,CEST,394,382,11,0
2022-06-11 23:00,2022-06-12 06:54,CEST,474,456,17,2
2022-06-11 00:44,2022-06-11 08:40,CEST,476,457,18,2
2022-06-09 22:30,2022-06-10 05:55,CEST,445,425,18,3
2022-06-08 22:30,2022-06-09 06:56,CEST,506,483,22,1
2022-06-07 23:08,2022-06-08 06:30,CEST,442,430,11,0
2022-06-05 23:30,2022-06-06 08:27,CEST,538,514,23,0
2022-06-05 00:30,2022-06-05 10:55,CEST,626,573,39,14
2022-06-02 23:49,2022-06-03 06:36,CEST,407,393,12,2
2022-06-01 23:13,2022-06-02 05:02,CEST,349,343,6,0
2022-05-31 23:00,2022-06-01 06:54,CEST,475,453,21,1
2022-05-30 22:50,2022-05-31 06:27,CEST,458,443,12,3
2022-05-29 23:09,2022-05-30 06:55,CEST,465,442,24,0
2022-05-29 01:00,2022-05-29 08:01,CEST,422,411,11,0
2022-05-28 05:04,2022-05-28 07:30,CEST,145,142,3,0
2022-05-27 00:39,2022-05-27 10:00,CEST,561,537,21,3
2022-05-26 00:04,2022-05-26 08:08,CEST,484,466,16,2
2022-05-24 22:50,2022-05-25 06:41,CEST,471,454,14,3
2022-05-23 23:29,2022-05-24 06:15,CEST,406,394,11,1
2022-05-22 23:02,2022-05-23 06:41,CEST,458,438,18,2
2022-05-21 23:30,2022-05-22 07:57,CEST,507,494,13,0
2022-05-19 23:00,2022-05-20 06:41,CEST,462,444,16,2
2022-05-18 23:11,2022-05-19 06:54,CEST,463,446,16,0
2022-05-17 23:09,2022-05-18 06:54,CEST,465,449,13,2
2022-05-16 23:37,2022-05-17 06:45,CEST,427,418,10,0
2022-05-15 23:28,2022-05-16 06:48,CEST,441,423,18,0
2022-05-15 00:00,2022-05-15 08:07,CEST,487,468,17,3
2022-05-14 00:00,2022-05-14 07:49,CEST,470,456,14,0
2022-05-13 00:00,2022-05-13 07:04,CEST,425,412,12,0
2022-05-11 23:30,2022-05-12 06:01,CEST,391,381,10,0
2022-05-09 23:30,2022-05-10 06:23,CEST,414,397,17,0
2022-05-09 00:00,2022-05-09 06:39,CEST,399,388,11,0
2022-05-07 23:00,2022-05-08 08:30,CEST,570,546,22,3
2022-05-06 23:32,2022-05-07 08:32,CEST,540,506,27,7
2022-05-05 00:00,2022-05-05 07:02,CEST,422,405,17,0
2022-05-03 23:14,2022-05-04 06:32,CEST,438,419,14,4
2022-05-03 00:39,2022-05-03 06:00,CEST,320,311,10,0
2022-05-01 23:13,2022-05-02 06:52,CEST,459,445,11,3
2022-04-30 23:00,2022-05-01 06:16,CEST,436,423,14,0
2022-04-28 23:00,2022-04-29 06:12,CEST,432,418,15,0
2022-04-27 23:49,2022-04-28 06:28,CEST,400,383,16,1
2022-04-26 23:13,2022-04-27 06:32,CEST,439,427,10,1
2022-04-26 00:00,2022-04-26 06:00,CEST,360,348,12,0
2022-04-24 23:13,2022-04-25 06:13,CEST,420,410,10,0
2022-04-24 00:57,2022-04-24 07:06,CEST,370,353,17,0
2022-04-23 00:04,2022-04-23 07:29,CEST,446,434,12,0
2022-04-22 01:24,2022-04-22 05:30,CEST,246,240,6,0
2022-04-20 23:29,2022-04-21 06:30,CEST,421,404,12,5
2022-04-19 23:03,2022-04-20 06:27,CEST,444,428,15,2
2022-04-18 23:00,2022-04-19 06:26,CEST,447,429,17,0
2022-04-18 00:50,2022-04-18 08:23,CEST,453,436,15,2
2022-04-17 01:22,2022-04-17 07:46,CEST,385,378,6,0
2022-04-16 00:58,2022-04-16 07:13,CEST,375,365,10,0
2022-04-14 23:09,2022-04-15 07:42,CEST,513,492,20,1
2022-04-13 23:00,2022-04-14 07:29,CEST,510,486,22,1
2022-04-12 23:41,2022-04-13 08:18,CEST,517,499,18,0
2022-04-11 23:05,2022-04-12 07:10,CEST,485,465,18,2
2022-04-10 23:43,2022-04-11 08:56,CEST,553,520,33,0
2022-04-10 00:46,2022-04-10 08:37,CEST,470,439,27,5
2022-04-08 23:30,2022-04-09 07:40,CEST,491,470,15,6
2022-04-07 21:09,2022-04-08 06:30,CEST,561,522,35,5
2022-04-06 23:20,2022-04-07 07:00,CEST,460,439,20,1
2022-04-05 22:13,2022-04-06 06:40,CEST,507,492,15,0
2022-04-05 00:53,2022-04-05 06:38,CEST,345,335,7,3
2022-04-03 23:00,2022-04-04 06:54,CEST,475,452,15,8
2022-04-03 00:30,2022-04-03 07:27,CEST,418,404,12,2
2022-04-01 22:40,2022-04-02 09:22,CEST,642,552,66,24
2022-03-31 22:30,2022-04-01 06:49,CEST,500,471,29,0
2022-03-30 21:30,2022-03-31 06:30,CEST,540,519,21,0
2022-03-29 23:52,2022-03-30 06:17,CEST,385,377,8,0
2022-03-28 23:07,2022-03-29 06:30,CEST,443,428,13,3
2022-03-27 22:30,2022-03-28 06:29,CEST,479,457,22,0
2022-03-26 22:36,2022-03-27 09:04,CEST,568,547,16,5
2022-03-25 23:11,2022-03-26 08:30,CEST,558,532,24,2
2022-03-24 23:00,2022-03-25 06:07,CEST,427,410,14,3
2022-03-23 23:00,2022-03-24 06:45,CEST,464,443,20,0
2022-03-22 23:00,2022-03-23 06:21,CEST,441,423,11,7
2022-03-21 23:00,2022-03-22 06:17,CEST,437,417,18,2
2022-03-20 23:00,2022-03-21 06:37,CEST,458,437,19,2
2022-03-19 22:30,2022-03-20 08:58,CEST,629,587,29,13
2022-03-18 22:53,2022-03-19 08:50,CEST,597,551,26,19
2022-03-17 23:00,2022-03-18 06:45,CEST,466,440,16,11
2022-03-16 22:53,2022-03-17 06:26,CEST,452,438,14,0
2022-03-15 23:03,2022-03-16 06:30,CEST,447,414,23,9
2022-03-14 22:00,2022-03-15 06:22,CEST,503,488,15,0
2022-03-13 22:06,2022-03-14 06:44,CEST,518,498,18,1
2022-03-12 23:57,2022-03-13 07:13,CEST,437,424,13,0
2022-03-11 22:30,2022-03-12 07:58,CEST,568,547,19,2
2022-03-10 22:01,2022-03-11 06:28,CEST,507,488,17,2
2022-03-09 23:00,2022-03-10 06:33,CEST,454,436,16,2
2022-03-08 21:32,2022-03-09 06:33,CEST,541,513,21,8
2022-03-08 00:00,2022-03-08 06:20,CEST,380,367,13,0
