item;n_trials;err;rt;sd;rtz;n_used;c_freq_movies;lc_freq_movies;c_freq_books;lc_freq_books;n_letters;n_syllables
volés;50;0;679,2653061;215,7540822;-0,301537642;49;7,9;0,897627091;3,04;0,482873584;5;2
volet;24;0,041666667;645,3478261;202,6094785;-0,554464151;23;2,21;0,344392274;6,89;0,838219222;5;2
voletaient;24;0,25;802,6111111;272,6195666;0,507996015;18;0,01;-2;1,82;0,260071388;10;2
voletait;25;0,2;825,55;271,945907;0,555143112;20;0;#NAME?;1,22;0,086359831;8;2
voletant;24;0,25;923,8823529;272,5492805;0,980025923;17;0,04;-1,397940009;1,76;0,245512668;8;2
voleter;25;0,52;721,4545455;166,2464217;0,188711766;11;0,14;-0,853871964;1,35;0,130333768;7;2
volets;25;0;645,08;119,0811768;-0,542830371;25;3,72;0,57054294;34,66;1,539828558;6;2
voleur;25;0,04;607,75;173,3712403;-0,667639368;24;46,33;1,6658623;13,45;1,128722284;6;2
voleurs;24;0;588,3333333;90,66069887;-0,889003989;24;24,45;1,388278863;12,09;1,082426301;7;2
voleuse;22;0;624,8181818;188,8566189;-0,536271737;22;5,56;0,745074792;2,77;0,442479769;7;2
volez;25;0;597,24;193,1552226;-0,6308103;25;3,59;0,555094449;0,27;-0,568636236;5;2
volière;25;0,2;777,4444444;176,415693;0,292727578;18;0,34;-0,468521083;2,97;0,472756449;7;2
volley;23;0,086956522;669,8095238;128,4167509;-0,391701897;21;1,51;0,178976947;0,07;-1,15490196;6;2
volleyeurs;25;0,68;933,3333333;262,6241928;1,625026304;6;0;#NAME?;0,07;-1,15490196;10;3
volons;24;0,375;712,8571429;272,9271126;-0,092723827;14;0,79;-0,102372909;0,2;-0,698970004;6;2
volontaire;25;0;653,6;155,1056092;-0,550670887;25;14,52;1,161966616;11,75;1,070037867;10;3
volontairement;24;0;720,9583333;240,2812626;-0,131172839;24;3,59;0,555094449;9,12;0,959994838;14;4
volontaires;25;0;652,12;144,4530835;-0,414438613;25;8;0,903089987;8,51;0,92992956;11;3
volonté;25;0,04;584,5416667;133,7060303;-0,676034709;24;44,41;1,647480773;70,54;1,848435455;7;3
volontés;26;0;644,5;157,7030754;-0,575607164;26;2,67;0,426511261;4,39;0,64246452;8;3
volontiers;24;0;620,4166667;114,7658928;-0,556704729;24;19,41;1,288025535;40,61;1,608632989;10;3
vols;25;0,04;637,375;224,0251951;-0,510338317;24;8,28;0,918030337;7,09;0,850646235;4;1
voltige;25;0;659,92;120,1259478;-0,433509628;25;0,66;-0,180456064;2,3;0,361727836;7;2
voltigeaient;25;0,08;898,0434783;222,3726353;1,030595487;23;0;#NAME?;1,28;0,10720997;12;3
voltigeant;23;0,130434783;940,1666667;298,5546063;1,21207894;18;0,14;-0,853871964;0,68;-0,167491087;10;3
voltiges;25;0;678,88;203,2093174;-0,056137753;25;0;#NAME?;0,14;-0,853871964;8;2
voltigeur;25;0,08;756,7391304;185,9037428;0,226226695;23;0,14;-0,853871964;2,09;0,320146286;9;3
voltigeurs;25;0,12;763,5;167,2384053;0,358304626;20;0,01;-2;2,91;0,463892989;10;3
volubile;25;0,36;696;173,4101112;0,070960431;16;0,05;-1,301029996;3,72;0,57054294;8;3
volubiles;24;0,416666667;766,0714286;184,4865908;0,170524492;14;0,02;-1,698970004;1,01;0,004321374;9;3
volubilité;25;0,24;796,1764706;224,8614116;0,599804428;17;0;#NAME?;1,55;0,190331698;10;5
volume;25;0;581,8;132,3102415;-0,90428925;25;5,45;0,736396502;16,35;1,213517757;6;2
volumes;24;0,041666667;634,173913;163,4816231;-0,614330144;23;1,03;0,012837225;11,49;1,060320029;7;2
volumineuse;25;0;702,5416667;225,4672403;-0,182323236;24;0,04;-1,397940009;1,55;0,190331698;11;4
volumineux;24;0;641,5833333;137,8574931;-0,203886167;24;0,22;-0,657577319;3,38;0,5289167;10;4
volupté;25;0;791,4;263,4051063;-0,015098576;25;3,27;0,514547753;10,2;1,008600172;7;3
voluptés;25;0;738,44;207,405818;0,157829442;25;0;#NAME?;1,22;0,086359831;8;3
voluptueuse;25;0,04;746,5833333;123,2819027;0,040907704;24;0,41;-0,387216143;1,96;0,292256071;11;3
voluptueusement;25;0,08;955,3913043;207,7640137;1,04708462;23;0,01;-2;3,11;0,492760389;15;4
voluptueux;24;0;737,1666667;216,2564232;-0,00180255;24;0,1;-1;4,46;0,649334859;10;3
volutes;24;0,333333333;827,9333333;155,4507118;0,7490593;15;0,03;-1,522878745;6,28;0,797959644;7;2
vomi;25;0,04;647;164,353278;-0,524249943;23;8,17;0,912222057;4,12;0,614897216;4;2
vomir;24;0,041666667;610,6521739;100,5365644;-0,677169461;23;13,75;1,138302698;11,62;1,065206128;5;2
vomis;25;0;703,08;217,5668326;-0,256843496;25;2,47;0,392696953;0,95;-0,022276395;5;2
vomissait;26;0;734,5;165,2281453;0,021661392;26;0,33;-0,48148606;2,3;0,361727836;9;3
vomissant;25;0;709,92;136,8819199;-0,167675977;25;0,15;-0,823908741;1,08;0,033423755;9;3
vomissement;25;0;649,25;132,0488217;-0,264681458;24;0,44;-0,356547324;0,61;-0,214670165;11;3
vomit;23;0,043478261;610,6818182;101,4937889;-0,52661735;22;2,45;0,389166084;2,64;0,421603927;5;2
vomitifs;24;0,208333333;844,5789474;193,7912152;0,458159677;19;0;#NAME?;0,14;-0,853871964;8;3
vont;25;0,16;668,3333333;172,7930361;-0,268216093;21;281,35;2,449246919;116,62;2,066773037;4;1
vorace;22;0,090909091;671,7;142,8219724;-0,158699041;20;0,56;-0,251811973;2,64;0,421603927;6;2
voraces;25;0,08;711,5652174;131,6827545;-0,039403226;23;0,38;-0,420216403;1,55;0,190331698;7;2
